CLDA3   OD2C1B -0.10000  3.26000
DCL3    OD2C1B -0.25000  3.48000
CLDA1   OD2C1C -0.30000  3.10000
CLDA3   OD2C1C -0.10000  3.26000
DCL3    OD2C1C -0.25000  3.48000
CLDA1   OD2C1D -0.30000  3.10000
CLDA3   OD2C1D -0.10000  3.26000
DCL3    OD2C1D -0.25000  3.48000
CLDA1   OD2C2B -0.13500  3.49000
DCL3    OD2C2B -0.13000  3.49000
CLDA1   OD2C2C -0.13500  3.49000
DCL3    OD2C2C -0.13000  3.49000
CLDA1   OD2C3A -0.30000  3.10000
CLDA3   OD2C3A -0.10000  3.26000
DCL3    OD2C3A -0.25000  3.48000
CLDA1   OD31A  -0.05000  3.73000
CLDA3   OD31A  -0.03500  3.85000
DCL3    OD31A  -0.09000  3.59000
CLDA1   OD31B  -0.05000  3.73000
CLDA3   OD31B  -0.03500  3.85000
DCL3    OD31B  -0.09000  3.59000
CLDA1   OD31C  -0.01000  3.61000
CLDA3   OD31C  -0.06000  3.67000
DCL3    OD31C  -0.07500  3.65000
CLDA1   OD31E  -0.05000  3.73000
CLDA3   OD31E  -0.03500  3.85000
DCL3    OD31E  -0.09000  3.59000
CLDA1   OD31F  -0.05000  3.73000
CLDA3   OD31F  -0.03500  3.85000
DCL3    OD31F  -0.09000  3.59000
CLDA1   OD31G  -0.05000  3.73000
CLDA3   OD31G  -0.03500  3.85000
DCL3    OD31G  -0.09000  3.59000
CLDA1   SD31A  -0.18000  3.93000
CLDA3   SD31A  -0.13000  3.90000
DCL3    SD31A  -0.20000  3.99000
CLDA1   SD31B  -0.18000  3.93000
CLDA3   SD31B  -0.13000  3.90000
DCL3    SD31B  -0.20000  3.99000
BRDR1   ND2A1  -0.30000  3.82000 
DBR2    ND2A1  -0.10000  3.82000 
BRDR1   ND2A2  -0.26000  3.78000 
DBR2    ND2A2  -0.13000  3.78000 
BRDR1   ND2B1  -0.30000  3.82000 
DBR2    ND2B1  -0.10000  3.82000 
BRDR1   ND2R5A -0.60000  3.37000 
DBR2    ND2R5A -0.20000  3.37000 
BRDR1   ND2R5B -0.20000  3.76000 
DBR2    ND2R5B -0.05000  3.76000 
BRDR1   ND2R5E -0.20000  3.76000 
DBR2    ND2R5E -0.05000  3.76000 
BRDR1   ND2R6A -0.20000  3.76000 
DBR2    ND2R6A -0.05000  3.76000 
BRDR1   ND2R6B -0.20000  3.76000 
DBR2    ND2R6B -0.05000  3.76000 
BRDR1   ND2R6C -0.26000  3.78000 
DBR2    ND2R6C -0.13000  3.78000 
BRDR1   ND2P1A -0.68000  3.73000 
BRDR1   ND3P3A -0.95500  3.50000 
BRDR1   OD2C1A -0.13000  3.70000 
DBR2    OD2C1A -0.10000  3.70000 
BRDR1   OD2C1B -0.13000  3.70000 
DBR2    OD2C1B -0.10000  3.70000 
BRDR1   OD2C1C -0.13000  3.70000 
DBR2    OD2C1C -0.10000  3.70000 
BRDR1   OD2C1D -0.30000  3.32000 
DBR2    OD2C1D -0.10000  3.32000 
BRDR1   OD2C2A -0.09500  4.10000 
DBR2    OD2C2A -0.01500  3.85000 
BRDR1   OD2C2B -0.09500  4.10000 
DBR2    OD2C2B -0.01500  3.85000 
BRDR1   OD2C2C -0.09500  4.10000 
DBR2    OD2C2C -0.01500  3.85000 
BRDR1   OD2C3A -0.13000  3.70000 
DBR2    OD2C3A -0.10000  3.70000 
BRDR1   OD2C3B -0.13000  3.70000 
DBR2    OD2C3B -0.10000  3.70000 
BRDR1   OD31A  -0.19000  3.56000 
DBR2    OD31A  -0.19000  3.56000 
BRDR1   OD31B  -0.19000  3.56000 
DBR2    OD31B  -0.19000  3.56000 
BRDR1   OD31E  -0.19000  3.56000 
DBR2    OD31E  -0.19000  3.56000 
BRDR1   OD31F  -0.19000  3.56000 
DBR2    OD31F  -0.19000  3.56000 
BRDR1   OD31G  -0.19000  3.56000 
DBR2    OD31G  -0.19000  3.56000 
BRDR1   SD31A  -0.35000  3.72000 
DBR2    SD31A  -0.25000  3.72000 
BRDR1   SD31B  -0.35000  3.72000 
DBR2    SD31B  -0.25000  3.72000 
OD31A   ND2R6B -0.04762  4.13429
